index,StartTime,EndTime,Lat,Long,Count
262,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,33.59997,-7.61636,8
263,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,34.51669,69.18326,1
264,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,35.67194,51.42434,10
265,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,37.87501,112.545,1
266,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,39.92889,116.3882,13
267,08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,41.80497,123.4499,1
268,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,-4.32972,15.31497,7
269,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,5.319996,-4.04004,23
270,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,9.03331,38.7,1
271,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,10.78002,106.695,5
272,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,13.08998,80.27999,6
273,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,15.58807,32.53417,18
274,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,16.78335,96.16667,8
275,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,17.39998,78.47995,14
276,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,18.53001,73.85,10
277,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,21.19998,72.84003,3
278,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,22.32999,91.79996,3
279,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,22.49496,88.32467,17
280,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,22.55237,114.1221,6
281,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,22.58039,88.32994,17
282,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,23.03005,72.58,6
283,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,23.04888,113.7447,3
284,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,23.14498,113.325,1
285,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,23.72305,90.40857,17
286,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,25.03583,121.5683,16
287,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,26.92113,75.80998,4
288,09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,29.56497,106.5949,4
